ASX:MGR,Mirvac Group (ASX:MGR),https://www.listcorp.com/asx/mgr/mirvac-group,"	9509520000",2.37,0,0,Real Estate
ASX:BSL,BlueScope Steel Limited (ASX:BSL),https://www.listcorp.com/asx/bsl/bluescope-steel-limited,"	9443880000",20.56,0,0,Materials
ASX:IGO,IGO Limited (ASX:IGO),https://www.listcorp.com/asx/igo/igo-limited,"	9337110000",12.35,0,0,Materials
ASX:AMC,Amcor Limited (ASX:AMC),https://www.listcorp.com/asx/amc/amcor-limited,"	9119050000",14.96,0,0,Materials
ASX:WOR,Worley Limited (ASX:WOR),https://www.listcorp.com/asx/wor/worley-limited,"	9084070000",17.12,0,0,Industrials
ASX:ALX,Atlas Arteria (ASX:ALX),https://www.listcorp.com/asx/alx/atlas-arteria,"	8806560000",6.1,0,0,Industrials
ASX:AFI,Australian Foundation Investment Company Limited (ASX:AFI),https://www.listcorp.com/asx/afi/australian-foundation-investment-company-limited,"	8620420000",6.95,0,0,Financials
ASX:SPK,Spark New Zealand Limited (ASX:SPK),https://www.listcorp.com/asx/spk/spark-new-zealand-limited,"	8616150000",4.71,0,0,Communication Services
ASX:VCX,Vicinity Centres (ASX:VCX),https://www.listcorp.com/asx/vcx/vicinity-centres,"	8558280000",1.845,0,0,Real Estate
ASX:TWE,Treasury Wine Estates Limited (ASX:TWE),https://www.listcorp.com/asx/twe/treasury-wine-estates-limited,"	8525030000",11.8,0,0,Consumer Staples
ASX:MCY,Mercury NZ Limited (ASX:MCY),https://www.listcorp.com/asx/mcy/mercury-nz-limited,"	8514910000",6.14,0,0,Utilities
ASX:AKE,Allkem Limited (ASX:AKE),https://www.listcorp.com/asx/ake/allkem-limited,"	8417090000",13.31,0,0,Materials
ASX:SEK,SEEK Limited (ASX:SEK),https://www.listcorp.com/asx/sek/seek-limited,"	8353360000",23.51,0,0,Communication Services
ASX:DXS,Dexus (ASX:DXS),https://www.listcorp.com/asx/dxs/dexus,"	8099010000",7.74,0,0,Real Estate
ASX:GPT,The GPT Group (ASX:GPT),https://www.listcorp.com/asx/gpt/gpt-group,"	7987960000",4.13,0,0,Real Estate
ASX:ALD,Ampol Limited (ASX:ALD),https://www.listcorp.com/asx/ald/ampol-limited,"	7761500000",32.57,0,0,Energy
ASX:IFT,Infratil Limited (ASX:IFT),https://www.listcorp.com/asx/ift/infratil-limited,"	7678340000",9.23,0,0,Industrials
ASX:PME,Pro Medicus Limited (ASX:PME),https://www.listcorp.com/asx/pme/pro-medicus,"	7402160000",70.1,0,0,Health Care
ASX:AGL,AGL Energy Limited (ASX:AGL),https://www.listcorp.com/asx/agl/agl-energy-limited,"	7292580000",10.94,0,0,Utilities
ASX:ORI,Orica Limited (ASX:ORI),https://www.listcorp.com/asx/ori/orica-limited,"	6950800000",15.27,0,0,Materials
ASX:MGOC,Magellan Global Fund (Open Class)(Managed Fund) (ASX:MGOC),https://www.listcorp.com/asx/mgoc/magellan-global-fund-open-class-managed-fund,"	6846320000",2.64,0,0,Financials
ASX:AZJ,Aurizon Holdings Limited (ASX:AZJ),https://www.listcorp.com/asx/azj/aurizon-holdings-limited,"	6792200000",3.71,0,0,Industrials
ASX:YAL,Yancoal Australia Ltd (ASX:YAL),https://www.listcorp.com/asx/yal/yancoal-australia-ltd,"	6747450000",5.11,0,0,Energy
ASX:ARG,Argo Investments Limited (ASX:ARG),https://www.listcorp.com/asx/arg/argo-investments-limited,"	6747190000",8.93,0,0,Financials
ASX:NXT,NEXTDC Limited (ASX:NXT),https://www.listcorp.com/asx/nxt/nextdc-limited,"	6680110000",12.91,0,0,Information Technology
ASX:MEZ,Meridian Energy Limited (ASX:MEZ),https://www.listcorp.com/asx/mez/meridian-energy-limited,"	6398340000",5.06,0,0,Utilities
ASX:IEL,IDP Education Limited (ASX:IEL),https://www.listcorp.com/asx/iel/idp-education-limited,"	6307100000",22.58,0,0,Consumer Discretionary
ASX:LYC,Lynas Rare Earths Limited (ASX:LYC),https://www.listcorp.com/asx/lyc/lynas-rare-earths-limited,"	6293920000",6.83,0,0,Materials
ASX:WHC,Whitehaven Coal Limited (ASX:WHC),https://www.listcorp.com/asx/whc/whitehaven-coal,"	6266140000",7.28,0,0,Energy
ASX:EBO,EBOS Group Limited (ASX:EBO),https://www.listcorp.com/asx/ebo/ebos-group-limited,"	6237000000",32.26,0,0,Health Care
ASX:VGS,Vanguard MSCI Index International Shares ETF (ASX:VGS),https://www.listcorp.com/asx/vgs/vanguard-msci-index-international-shares-etf,"	6218360000",107.98,0,0,Financials
ASX:EVN,Evolution Mining Limited (ASX:EVN),https://www.listcorp.com/asx/evn/evolution-mining-limited,"	6165660000",3.36,0,0,Materials
ASX:IVV,iShares S&P 500 ETF (ASX:IVV),https://www.listcorp.com/asx/ivv/ishares-s-and-p-500-etf,"	6003710000",45.54,0,0,Financials
ASX:SDF,Steadfast Group Limited (ASX:SDF),https://www.listcorp.com/asx/sdf/steadfast-group,"	5950960000",5.72,0,0,Financials
ASX:CWY,Cleanaway Waste Management Limited (ASX:CWY),https://www.listcorp.com/asx/cwy/cleanaway-waste-management-limited,"	5921810000",2.68,0,0,Industrials
ASX:IPL,Incitec Pivot Limited (ASX:IPL),https://www.listcorp.com/asx/ipl/incitec-pivot-limited,"	5710140000",2.93,0,0,Materials
ASX:LTR,Liontown Resources Limited (ASX:LTR),https://www.listcorp.com/asx/ltr/liontown-resources-limited,"	5615750000",2.56,0,0,Materials
ASX:BLD,Boral Limited (ASX:BLD),https://www.listcorp.com/asx/bld/boral-limited,"	5581630000",5.01,0,0,Materials
ASX:LLC,Lendlease Group (ASX:LLC),https://www.listcorp.com/asx/llc/lendlease-group,"	5562830000",7.96,0,0,Real Estate
ASX:ALQ,ALS Limited (ASX:ALQ),https://www.listcorp.com/asx/alq/als-limited,"	5345210000",11.12,0,0,Industrials
ASX:BEN,Bendigo and Adelaide Bank Limited (ASX:BEN),https://www.listcorp.com/asx/ben/bendigo-and-adelaide-bank-limited,"	5325380000",9.35,0,0,Financials
ASX:JBH,JB Hi-Fi Limited (ASX:JBH),https://www.listcorp.com/asx/jbh/jb-hi-fi-limited,"	5073100000",46.04,0,0,Consumer Discretionary
ASX:CHC,Charter Hall Group (ASX:CHC),https://www.listcorp.com/asx/chc/charter-hall-group,"	4919170000",10.4,0,0,Real Estate
ASX:NHC,New Hope Corporation Limited (ASX:NHC),https://www.listcorp.com/asx/nhc/new-hope-corporation-limited,"	4886040000",5.66,0,0,Energy
ASX:FLT,Flight Centre Travel Group Limited (ASX:FLT),https://www.listcorp.com/asx/flt/flight-centre-travel-group-limited,"	4876790000",22.08,0,0,Consumer Discretionary
ASX:ALU,Altium Limited (ASX:ALU),https://www.listcorp.com/asx/alu/altium-limited,"	4827500000",36.95,0,0,Information Technology
ASX:VEA,Viva Energy Group Limited (ASX:VEA),https://www.listcorp.com/asx/vea/viva-energy-group-limited,"	4786920000",3.12,0,0,Energy
ASX:TNE,Technology One Limited (ASX:TNE),https://www.listcorp.com/asx/tne/technology-one-limited,"	4769470000",14.52,0,0,Information Technology
ASX:QUB,Qube Holdings Limited (ASX:QUB),https://www.listcorp.com/asx/qub/qube-holdings-limited,"	4767560000",2.72,0,0,Industrials
ASX:HVN,Harvey Norman Holdings Limited (ASX:HVN),https://www.listcorp.com/asx/hvn/harvey-norman-holdings-limited,"	4697440000",3.75,0,0,Consumer Discretionary
ASX:STW,SPDR S&P/ASX 200 Fund (ASX:STW),https://www.listcorp.com/asx/stw/spdr-s-and-p-asx-200-fund,"	4690910000",64.6,0,0,Financials
ASX:CGF,Challenger Limited (ASX:CGF),https://www.listcorp.com/asx/cgf/challenger-limited,"	4662020000",6.73,0,0,Financials
ASX:GQG,GQG Partners Inc. (ASX:GQG),https://www.listcorp.com/asx/gqg/gqg-partners,"	4503030000",1.525,0,0,Financials
ASX:DMP,Domino's Pizza Enterprises Limited (ASX:DMP),https://www.listcorp.com/asx/dmp/dominos-pizza-enterprises-limited,"	4465210000",48.46,0,0,Consumer Discretionary
ASX:IOZ,iShares Core S&P/ASX 200 ETF (ASX:IOZ),https://www.listcorp.com/asx/ioz/ishares-core-s-and-p-asx-200-etf,"	4079880000",28.89,0,0,Financials
ASX:ILU,Iluka Resources Limited (ASX:ILU),https://www.listcorp.com/asx/ilu/iluka-resources-limited,"	3966180000",9.34,0,0,Materials
ASX:QUAL,VanEck MSCI International Quality ETF (ASX:QUAL),https://www.listcorp.com/asx/qual/vaneck-msci-international-quality-etf,"	3949920000",45.41,0,0,Financials
ASX:BOQ,Bank of Queensland Limited (ASX:BOQ),https://www.listcorp.com/asx/boq/bank-of-queensland-limited,"	3897300000",5.91,0,0,Financials
ASX:BKW,Brickworks Limited (ASX:BKW),https://www.listcorp.com/asx/bkw/brickworks-limited,"	3895940000",25.6,0,0,Materials
ASX:AWC,Alumina Limited (ASX:AWC),https://www.listcorp.com/asx/awc/alumina-limited,"	3873740000",1.33,0,0,Materials
ASX:NHF,NIB Holdings Limited (ASX:NHF),https://www.listcorp.com/asx/nhf/nib-holdings-limited,"	3809470000",8,0,0,Financials
ASX:APE,Eagers Automotive Limited (ASX:APE),https://www.listcorp.com/asx/ape/eagers-automotive-limited,"	3599170000",13.92,0,0,Consumer Discretionary
ASX:NWL,Netwealth Group Limited (ASX:NWL),https://www.listcorp.com/asx/nwl/netwealth-group-limited,"	3587640000",15.33,0,0,Financials
ASX:VTS,Vanguard US Total Market Shares Index ETF (ASX:VTS),https://www.listcorp.com/asx/vts/vanguard-us-total-market-shares-index-etf,"	3560490000",338.39,0,0,Financials
ASX:A2M,The A2 Milk Company Limited (ASX:A2M),https://www.listcorp.com/asx/a2m/the-a2-milk-company,"	3559340000",4.94,0,0,Consumer Staples
ASX:FBU,Fletcher Building Limited (ASX:FBU),https://www.listcorp.com/asx/fbu/fletcher-building-limited,"	3555020000",4.54,0,0,Industrials
ASX:BPT,Beach Energy Limited (ASX:BPT),https://www.listcorp.com/asx/bpt/beach-energy-limited,"	3513250000",1.525,0,0,Energy
ASX:MTS,Metcash Limited (ASX:MTS),https://www.listcorp.com/asx/mts/metcash-limited,"	3495260000",3.65,0,0,Consumer Staples
ASX:PMV,Premier Investments Limited (ASX:PMV),https://www.listcorp.com/asx/pmv/premier-investments-limited,"	3490200000",21.75,0,0,Consumer Discretionary
ASX:AMP,AMP Limited (ASX:AMP),https://www.listcorp.com/asx/amp/amp-limited,"	3484260000",1.255,0,0,Financials
ASX:NEC,Nine Entertainment Co. Holdings Limited (ASX:NEC),https://www.listcorp.com/asx/nec/nine-entertainment-co-holdings-limited,"	3479000000",2.01,0,0,Communication Services
ASX:RWC,Reliance Worldwide Corporation Limited (ASX:RWC),https://www.listcorp.com/asx/rwc/reliance-worldwide-corporation-limited,"	3397410000",4.24,0,0,Industrials
ASX:CNU,Chorus Limited (ASX:CNU),https://www.listcorp.com/asx/cnu/chorus-limited,"	3339010000",7.73,0,0,Communication Services
ASX:BRG,Breville Group Limited (ASX:BRG),https://www.listcorp.com/asx/brg/breville-group-limited,"	3325380000",23.15,0,0,Consumer Discretionary
ASX:NDQ,BetaShares NASDAQ 100 ETF (ASX:NDQ),https://www.listcorp.com/asx/ndq/betashares-nasdaq-100-etf,"	3314550000",34.77,0,0,Financials
ASX:AUB,AUB Group Limited (ASX:AUB),https://www.listcorp.com/asx/aub/aub-group-limited,"	3142680000",28.97,0,0,Financials
ASX:TLX,Telix Pharmaceuticals Limited (ASX:TLX),https://www.listcorp.com/asx/tlx/telix-pharmaceuticals-limited,"	3121380000",9.88,0,0,Health Care
ASX:ORA,Orora Group Limited (ASX:ORA),https://www.listcorp.com/asx/ora/orora-group-limited,"	3119350000",3.63,0,0,Materials
ASX:A200,BetaShares Australia 200 ETF (ASX:A200),https://www.listcorp.com/asx/a200/betashares-australia-200-etf,"	3107710000",119.15,0,0,Financials
ASX:SUL,Super Retail Group Limited (ASX:SUL),https://www.listcorp.com/asx/sul/super-retail-group-limited,"	3098340000",12.78,0,0,Consumer Discretionary
ASX:AAA,BetaShares Australian High Interest Cash ETF (ASX:AAA),https://www.listcorp.com/asx/aaa/betashares-australian-high-interest-cash-etf,"	3066590000",50.17,0,0,Financials
ASX:ANN,Ansell Limited (ASX:ANN),https://www.listcorp.com/asx/ann/ansell-limited,"	3028390000",23.29,0,0,Health Care
ASX:GOLD,Global X Physical Gold (ASX:GOLD),https://www.listcorp.com/asx/gold/global-x-physical-gold,"	2988210000",27.37,0,0,Financials
ASX:SGM,Sims Limited (ASX:SGM),https://www.listcorp.com/asx/sgm/sims-limited,"	2976930000",15.25,0,0,Materials
ASX:VHY,Vanguard Australian Shares High Yield ETF (ASX:VHY),https://www.listcorp.com/asx/vhy/vanguard-australian-shares-high-yield-etf,"	2954590000",66.52,0,0,Financials
ASX:NSR,National Storage REIT (ASX:NSR),https://www.listcorp.com/asx/nsr/national-storage-reit,"	2925990000",2.2,0,0,Real Estate
ASX:WEB,Webjet Limited (ASX:WEB),https://www.listcorp.com/asx/web/webjet-limited,"	2916520000",7.57,0,0,Consumer Discretionary
ASX:IOO,iShares Global 100 ETF (ASX:IOO),https://www.listcorp.com/asx/ioo/ishares-global-100-etf,"	2844350000",114.75,0,0,Financials
ASX:CTD,Corporate Travel Management Limited (ASX:CTD),https://www.listcorp.com/asx/ctd/corporate-travel-management,"	2796280000",18.98,0,0,Consumer Discretionary
ASX:DOW,Downer EDI Limited (ASX:DOW),https://www.listcorp.com/asx/dow/downer-edi-limited,"	2793750000",4.17,0,0,Industrials
ASX:PPT,Perpetual Limited (ASX:PPT),https://www.listcorp.com/asx/ppt/perpetual-limited,"	2773560000",24.79,0,0,Financials
ASX:CSR,CSR Limited (ASX:CSR),https://www.listcorp.com/asx/csr/csr-limited,"	2759280000",5.73,0,0,Materials
ASX:CIA,Champion Iron Limited (ASX:CIA),https://www.listcorp.com/asx/cia/champion-iron-limited,"	2757190000",5.49,0,0,Materials
ASX:SQ2,Block Inc. (ASX:SQ2),https://www.listcorp.com/asx/sq2/block-inc,"	2754940000",88.15,0,0,Financials
ASX:AVZ,AVZ Minerals Limited (ASX:AVZ),https://www.listcorp.com/asx/avz/avz-minerals-limited,"	2752410000",0.78,0,0,Materials
ASX:ARB,ARB Corporation Limited (ASX:ARB),https://www.listcorp.com/asx/arb/arb-corporation-limited,"	2749510000",33.03,0,0,Consumer Discretionary
ASX:SFR,Sandfire Resources Limited (ASX:SFR),https://www.listcorp.com/asx/sfr/sandfire-resources-limited,"	2745920000",6.04,0,0,Materials
ASX:ZIM,Zimplats Holdings Limited (ASX:ZIM),https://www.listcorp.com/asx/zim/zimplats-holdings-limited,"	2666180000",24.77,0,0,Materials
ASX:CRN,Coronado Global Resources Inc. (ASX:CRN),https://www.listcorp.com/asx/crn/coronado-global-resources-inc.,"	2632030000",1.56,0,0,Materials
ASX:BFL,BSP Financial Group Limited (ASX:BFL),https://www.listcorp.com/asx/bfl/bsp-financial-group-limited,"	2616430000",5.6,0,0,Financials
ASX:VEU,Vanguard All-World Ex-US Shares Index ETF (ASX:VEU),https://www.listcorp.com/asx/veu/vanguard-all-world-ex-us-shares-index-etf,"	2610090000",82.71,0,0,Financials
ASX:ETHI,BetaShares Global Sustainability Leaders ETF (ASX:ETHI),https://www.listcorp.com/asx/ethi/betashares-global-sustainability-leaders-etf,"	2581080000",12.5,0,0,Financials
ASX:CLW,Charter Hall Long WALE REIT (ASX:CLW),https://www.listcorp.com/asx/clw/charter-hall-long-wale-reit,"	2566490000",3.53,0,0,Real Estate
ASX:NIC,Nickel Industries Limited (ASX:NIC),https://www.listcorp.com/asx/nic/nickel-industries-limited,"	2554460000",0.735,0,0,Materials
ASX:RGN,Region Group (ASX:RGN),https://www.listcorp.com/asx/rgn/region-group,"	2516080000",2.2,0,0,Real Estate
ASX:SMR,Stanmore Resources Limited (ASX:SMR),https://www.listcorp.com/asx/smr/stanmore-resources-limited,"	2505870000",2.78,0,0,Materials
ASX:MGF,Magellan Global Fund (ASX:MGF),https://www.listcorp.com/asx/mgf/magellan-global-fund,"	2460210000",1.71,0,0,Financials
ASX:GNE,Genesis Energy Limited (ASX:GNE),https://www.listcorp.com/asx/gne/genesis-energy-limited,"	2428820000",2.28,0,0,Utilities
ASX:TAH,Tabcorp Holdings Limited (ASX:TAH),https://www.listcorp.com/asx/tah/tabcorp-holdings-limited,"	2418470000",1.05,0,0,Consumer Discretionary
ASX:HDN,HomeCo Daily Needs REIT (ASX:HDN),https://www.listcorp.com/asx/hdn/homeco-daily-needs-reit,"	2416640000",1.15,0,0,Real Estate
